iter	MultiClass
128	0.3530619771
129	0.3512198785
130	0.3492618209
131	0.34701172
132	0.3444309222
133	0.3427695793
134	0.3404914528
135	0.3388789797
136	0.3373841426
137	0.3352233179
138	0.3326288087
139	0.3296514359
140	0.3272580058
141	0.325336562
142	0.3229315729
143	0.320358221
144	0.3183170408
145	0.3162564799
146	0.314604055
147	0.3128082482
148	0.310449788
149	0.3082755933
150	0.3055096168
151	0.3039685196
152	0.3021046228
153	0.3001234637
154	0.2988826167
155	0.2970144684
156	0.295760026
157	0.2944117684
158	0.2922997596
159	0.2901739079
160	0.2885198761
161	0.2875347363
162	0.285758089
163	0.2840724246
164	0.2826227398
165	0.2811875477
166	0.2795513239
167	0.2771918851
168	0.276353561
169	0.2749354587
170	0.274180965
171	0.2731607222
172	0.2718767942
173	0.2705558159
174	0.2686631449
175	0.2671774799
176	0.2654697555
177	0.2641376479
178	0.2628016587
179	0.2616076988
180	0.2604786086
181	0.2588758423
182	0.2579090803
183	0.2563465204
184	0.2556910359
185	0.2542698235
186	0.2535973914
187	0.251797998
188	0.2506192391
189	0.2500991009
190	0.2491823337
191	0.2474480101
192	0.2463123421
193	0.2447941679
194	0.2430974265
195	0.2420649652
196	0.2406222288
197	0.2393027511
198	0.2385148902
199	0.236783379
200	0.2356923818
201	0.2347389124
202	0.2334388699
203	0.2319976223
204	0.2309489994
205	0.2300421835
206	0.2287395433
207	0.2279495002
208	0.2264472146
209	0.2253578362
210	0.2241869735
211	0.2229952299
212	0.2214605822
213	0.2201429047
214	0.2188717668
215	0.2178730111
216	0.2158833419
217	0.215016734
218	0.213406448
219	0.2122052785
220	0.211077042
221	0.2100766975
222	0.2089612638
223	0.2080451303
224	0.206672195
225	0.2051882541
226	0.204349859
227	0.2033278437
228	0.2019070569
229	0.201288548
230	0.2007918122
231	0.1998404914
232	0.1988831797
233	0.198360996
234	0.1970110473
235	0.1963474597
236	0.1958102935
237	0.1951570439
238	0.1944477932
239	0.193169402
240	0.192311904
241	0.191640469
242	0.1906173142
243	0.1900635172
244	0.1890650553
245	0.1882538971
246	0.1877610075
247	0.1871333496
248	0.1863170475
249	0.1853536345
250	0.1847416012
251	0.1838931979
252	0.1827998403
253	0.1818804051
254	0.1815167705
255	0.1807136404
256	0.1802992325
257	0.1799407831
258	0.1793565551
259	0.1784313054
260	0.1777260249
261	0.1771574294
262	0.1764546236
263	0.1759480574
264	0.175351025
265	0.1747190764
266	0.1739915958
267	0.1733635465
268	0.1727854274
269	0.1720552801
270	0.1716084184
271	0.171019394
272	0.1703406193
273	0.1696985778
274	0.1691655271
275	0.1684466019
276	0.1676710145
277	0.1673327289
278	0.1667634726
279	0.1658083012
280	0.1652102561
281	0.1646879035
282	0.1642724261
283	0.1633183272
284	0.1620968053
285	0.1616961028
286	0.1610348259
287	0.1607945304
288	0.1600926313
289	0.1592109006
290	0.1588246079
291	0.1582767621
292	0.1576180511
293	0.1571366126
294	0.1563577274
295	0.1556567971
296	0.1551137058
297	0.1545590453
298	0.1540511041
299	0.153588779
300	0.1531892229
301	0.1524377699
302	0.152231469
303	0.1514465022
304	0.1511954014
305	0.1506587069
306	0.1499986804
307	0.1493460964
308	0.1486575655
309	0.1481543569
310	0.1475082421
311	0.1470205548
312	0.1466997391
313	0.1458270537
314	0.1455526697
315	0.1453474821
316	0.1450899148
317	0.1446000988
318	0.1439395684
319	0.1434104872
320	0.1430741873
321	0.1425403437
322	0.1419306263
323	0.1415249128
324	0.1409353192
325	0.1403284172
326	0.1396956038
327	0.1393687655
328	0.138409861
329	0.1380877934
330	0.1376834151
331	0.1370184967
332	0.1364893167
333	0.1358582938
334	0.1354796965
335	0.1351074374
336	0.1346210382
337	0.1341970389
338	0.1338821839
339	0.1334803322
340	0.1331312017
341	0.1327062792
342	0.132311169
343	0.1319019579
344	0.1314958391
345	0.1312672908
346	0.1309872096
347	0.1304012893
348	0.1300269443
349	0.1297666843
350	0.1291825687
351	0.128802466
352	0.1283488921
353	0.1278104488
354	0.1275006363
355	0.1270578443
356	0.1264930024
357	0.1258764542
358	0.1252522824
359	0.1246484569
360	0.1243305416
361	0.1240257594
362	0.1236206732
363	0.1231517066
364	0.1225216789
365	0.1221273698
366	0.1216991093
367	0.1213659802
368	0.1208916045
369	0.1203459627
370	0.1199793868
371	0.1194702135
372	0.1191042099
373	0.1184941338
374	0.1180497944
375	0.1176090186
376	0.1171494309
377	0.116950487
378	0.1166365826
379	0.1163555336
380	0.1158567722
381	0.1156980515
382	0.1153719564
383	0.1151550273
384	0.1147320375
385	0.114383058
386	0.1140960932
387	0.1137029806
388	0.1134390955
389	0.1131814971
390	0.1128630229
391	0.1124859136
392	0.1120960261
393	0.1118023226
394	0.1116052797
395	0.1111109236
396	0.1107316973
397	0.1104836685
398	0.1102142342
399	0.1097583203
400	0.109291589
401	0.1088405495
402	0.1084025112
403	0.1080252248
404	0.1076826
405	0.1074795093
406	0.1072170669
407	0.1069802777
408	0.1067525301
409	0.1065729328
410	0.1062071601
411	0.105759338
412	0.1054200621
413	0.1049899932
414	0.1046936344
415	0.1044463942
416	0.1042364339
417	0.1038935945
418	0.1034281522
419	0.1029318935
420	0.1025178504
421	0.1022001458
422	0.1018849535
423	0.1015972934
424	0.1012340084
425	0.100965983
426	0.1007203176
427	0.1004031937
428	0.1000549826
429	0.09985712647
430	0.09943062176
431	0.09915211479
432	0.09880524783
433	0.09862469634
434	0.09808192142
435	0.0978939363
436	0.09756057518
437	0.09732506688
438	0.09709886349
439	0.09690321578
440	0.09676522571
441	0.09657806353
442	0.09642071467
443	0.09616651206
444	0.09546274042
445	0.0951983228
446	0.09498911242
447	0.09473996425
448	0.09443313258
449	0.09423944724
450	0.09381670901
451	0.09351435424
452	0.09319419024
453	0.09279672967
454	0.09235513975
455	0.09209450632
456	0.09194047978
457	0.09147778811
458	0.0913490922
459	0.09103352518
460	0.09059946242
461	0.09038068699
462	0.09019157611
463	0.0900460358
464	0.08975021125
465	0.08933893483
466	0.08904952496
467	0.08867142912
468	0.0883498376
469	0.08803467827
470	0.08782141176
471	0.08746768055
472	0.08712100762
473	0.08686023627
474	0.08644765997
475	0.08627092436
476	0.08604356477
477	0.08573884458
478	0.08550151642
479	0.08527209026
480	0.08506476641
481	0.08481831817
482	0.08461255985
483	0.08440385854
484	0.08415664197
485	0.08396900185
486	0.08370751559
487	0.08341534128
488	0.08311602189
489	0.08298251521
490	0.08284971424
491	0.08260051818
492	0.08236207108
493	0.0821418428
494	0.08195404053
495	0.08175378136
496	0.08151381982
497	0.08121758235
498	0.0809885057
499	0.08083410749
500	0.08059971834
501	0.08031031358
502	0.0801118809
503	0.07990592717
504	0.07970939022
505	0.07949428593
506	0.07917865308
507	0.07906653492
508	0.07885009118
509	0.07866328117
510	0.0782662736
511	0.07812818406
512	0.07795429059
513	0.07761449818
514	0.07746524333
515	0.07729654518
516	0.07704684206
517	0.07694905029
518	0.0766374012
519	0.07641397968
520	0.07615738795
521	0.07600123257
522	0.07586838622
523	0.07576851168
524	0.07562174691
525	0.07551096496
526	0.07539257895
527	0.07519140063
528	0.07493586985
529	0.07470089247
530	0.07432883467
531	0.07413648835
532	0.073953788
533	0.0738009809
534	0.07365501183
535	0.0735435864
536	0.07339052729
537	0.07317391855
538	0.07304117006
539	0.07279706275
540	0.07254385957
541	0.0723736029
542	0.07228528112
543	0.07199401248
544	0.07181234329
545	0.07164694607
546	0.07142083334
547	0.07127485656
548	0.07107956631
549	0.07073939029
550	0.07062346377
551	0.0704115187
552	0.07029855637
553	0.07014116644
554	0.06996922132
555	0.06977516222
556	0.06968704901
557	0.06945304348
558	0.06921912425
559	0.06902151913
560	0.0689343346
561	0.06879255931
562	0.06849926068
563	0.06827950973
564	0.06814809344
565	0.06802332617
566	0.06775222279
567	0.06761219184
568	0.06750934466
569	0.0673028995
570	0.06718858734
571	0.06687354536
572	0.06665455487
573	0.06647579607
574	0.06629987753
575	0.0662172592
576	0.06594375776
577	0.06563695653
578	0.0655047534
579	0.06527693414
580	0.06518080645
581	0.06509313624
582	0.06490520355
583	0.06478053993
584	0.06463175954
585	0.06447706293
586	0.06432108934
587	0.06403608645
588	0.0638042169
589	0.06367312808
590	0.0635692562
591	0.06344827833
592	0.06318967572
593	0.06306295045
594	0.06289080903
595	0.06270793489
596	0.06258919108
597	0.06231582017
598	0.06216939544
599	0.06206851576
600	0.06188541445
601	0.06172090266
602	0.06152806332
603	0.0612917634
604	0.06115983708
605	0.06093102243
606	0.06080828401
607	0.06067567671
608	0.06048966079
609	0.06038447052
610	0.06024700268
611	0.06009798226
612	0.05997532367
613	0.05983482656
614	0.05973137303
615	0.05963639485
616	0.05937383983
617	0.05928966304
618	0.05907771587
619	0.05895669873
620	0.05878003118
621	0.05863802547
622	0.058504383
623	0.05834185964
624	0.05822499093
625	0.0580458054
626	0.05783348377
627	0.05765319992
628	0.0574402397
629	0.05728721735
630	0.05706106144
631	0.05692800362
632	0.05684377934
633	0.05669398183
634	0.05654102605
635	0.05635427066
636	0.0562165669
637	0.05608094151
638	0.05591288562
639	0.05578407416
640	0.05561113617
641	0.05544586937
642	0.05524415112
643	0.05517057865
644	0.05504999573
645	0.05489799071
646	0.05475375801
647	0.05458123659
648	0.05442452253
649	0.05423748142
650	0.05406360683
651	0.05397848376
652	0.05379120073
653	0.05362934599
654	0.05353270057
655	0.05341310982
656	0.05330718057
657	0.0532055799
658	0.05305833897
659	0.05290926368
660	0.05279052754
661	0.05263519857
662	0.05256998344
663	0.05251449553
664	0.05245199851
665	0.05236281685
666	0.05224648135
667	0.05207075345
668	0.05196087698
669	0.05177922785
670	0.05160859931
671	0.0514570127
672	0.05132165859
673	0.05119319307
674	0.05102847296
675	0.05090644038
676	0.05071887879
677	0.05052264469
678	0.05039394238
679	0.0502443641
680	0.05008904086
681	0.04987219057
682	0.04975919975
683	0.04968134811
684	0.04949875596
685	0.0493829113
686	0.04932730666
687	0.04920972395
688	0.04907942281
689	0.04902843611
690	0.04884363711
691	0.04872424641
692	0.04861718681
693	0.04847629375
694	0.04837487574
695	0.04822388232
696	0.04812898249
697	0.04794854369
698	0.04784084365
699	0.04770778919
700	0.04762129901
701	0.04757136623
702	0.04747426695
703	0.04739894767
704	0.04728722132
705	0.04718689469
706	0.04710917324
707	0.04689060675
708	0.04679921044
709	0.0466977621
710	0.04659347785
711	0.04652484401
712	0.04642002297
713	0.04636417124
714	0.0461970977
715	0.04611079553
716	0.04602821049
717	0.04593265454
718	0.04585266687
719	0.04576485438
720	0.04566186386
721	0.04553908057
722	0.04537967495
723	0.0453149779
724	0.04527439758
725	0.04516386661
726	0.04505511324
727	0.04493477382
728	0.04484434969
729	0.04475439742
730	0.0446913743
731	0.04462685529
732	0.04460105681
733	0.04450499139
734	0.04441308025
735	0.04424185595
736	0.04409550484
737	0.04402202824
738	0.04393343705
739	0.04376123904
740	0.04366713539
741	0.04357511804
742	0.04344536966
743	0.04335592628
744	0.04321990512
745	0.04313778508
746	0.04298397886
747	0.04288638649
748	0.04276185
749	0.04263395135
750	0.04252495233
751	0.04245649458
752	0.04237509395
753	0.0422633605
754	0.04217907496
755	0.04213475005
756	0.04200396669
757	0.04189597053
758	0.04180910228
759	0.04173747579
760	0.04167043835
761	0.04164180964
762	0.04152981121
763	0.0414351737
764	0.04140409345
765	0.0413143323
766	0.04118651415
767	0.0411307047
768	0.04102084091
769	0.04094373144
770	0.04084982579
771	0.0407327801
772	0.04064284818
773	0.04055112071
774	0.04045197967
775	0.04038725933
776	0.04031592605
777	0.04022543957
778	0.04013904971
779	0.0400595815
780	0.04000358452
781	0.03990659802
782	0.03983611218
783	0.03973750053
784	0.0396183811
785	0.03952982111
786	0.03944388699
787	0.0392538769
788	0.03916906431
789	0.03902079512
790	0.03893548737
791	0.03887913102
792	0.03876297413
793	0.03864295621
794	0.03850473394
795	0.03841544254
796	0.03836168553
797	0.03825266426
798	0.03818911625
799	0.03804724598
